review,Folio Solicitud,Tipo PST,Nombre Comercial,Calle,Colonia,Estado,Municipio
,4071010203,Agencia de viajes,SENDEROS DE CHIAPAS ,Segunda Oriente Sur No,Tuxtla Gutiérrez Centro,Chiapas,Tuxtla Gutiérrez
,1070780154,Hospedaje,UVENCE ARTE + HOTEL,CALZADA ROBERTA SN,31 de Marzo,Chiapas,San Cristóbal de las Casas
,2070780064,Alimentos y bebidas,AGAPANDOS,CALZADA ROBERTA SN,31 de Marzo,Chiapas,San Cristóbal de las Casas
,4071013099,Agencia de viajes,Tours Guiados Por Mexico,Santa Ana .,Campanario,Chiapas,Tuxtla Gutiérrez
,1071010117,Hospedaje,PLAZA CHIAPAS,2A AV. NORTE OTE. ,Tuxtla Gutiérrez Centro,Chiapas,Tuxtla Gutiérrez
,4071013101,Agencia de viajes,Travesías Chiapas,Av. Cardenal .,Fracc. Buenos Aires,Chiapas,Tuxtla Gutiérrez
,31070780117,Guía de turistas,Vicente Alfredo Jiménez Ruiz,Calle Nicolás Ruiz,Guadalupe,Chiapas,San Cristóbal de las Casas
,31070650164,Guía de turistas,Agustín López Sánchez,Calle Adolfo López Mateos,Adolfo López Mateos,Chiapas,Palenque
,1070650079,Hospedaje,Hotel Maya Palenque,Calle Merle Green .,La Cañada,Chiapas,Palenque
,4070653004,Agencia de viajes,Rutas Mayas del Sureste ,Avanida Juárez .,Centro ,Chiapas,Palenque
,31070650165,Guía de turistas,Juan Francisco López Vázquez,Calle sin mbre,Adolfo López Mateos,Chiapas,Palenque
,31070780088,Guía de turistas,Rodolfo López Cruz,San Juan .,Fátima,Chiapas,San Cristóbal de las Casas
,4071013066,Agencia de viajes,PROMESA DE AMOR,PINO SUAREZ .,Bienestar Social,Chiapas,Tuxtla Gutiérrez
,4071013095,Agencia de viajes,Experiencias de Viajes,Avenida Rosario Sabinal N°,Granjas Club Campestre,Chiapas,Tuxtla Gutiérrez
,4070782573,Agencia de viajes,PASION X CHIAPAS,BELISARIO DOMINGUEZ,San Cristóbal de las Casas Centro,Chiapas,San Cristóbal de las Casas
,4070782572,Agencia de viajes,Toj Lek Viajes,Calle Cobre N°,El Paraiso,Chiapas,San Cristóbal de las Casas
,1071040001,Hospedaje,Centro Ecoturístico Cascadas El Chiflon,San Cristobalito,Tzimol Centro,Chiapas,Tzimol
,4070652987,Agencia de viajes,Consultora Turística de Chiapas.,Calle Aldama Norte no,Guadalupe,Chiapas,Palenque
,4070653003,Agencia de viajes,Mar  Viajes  Internacionales,Manzana,Fraccionamiento Las Flores,Chiapas,Palenque
,31070780062,Guía de turistas,ULISES HUMBERTO JIMENEZ BORREGO,VENUSTIANO CARRANZA,San Diego,Chiapas,San Cristóbal de las Casas
,31070780041,Guía de turistas,ALEJANDRO ALARCON ZAPATA,Camino a las antenas,Huitepec Ocotal Sección II,Chiapas,San Cristóbal de las Casas
,31070650167,Guía de turistas,Daniel Guzman Moreno,Av. Reforma .,Centro,Chiapas,Palenque
,4070090004,Agencia de viajes,Bohemian Travel ,Av. Qu a,Pueblo Urbano ,Chiapas,Arriaga
,31070650134,Guía de turistas,OLFO REYES CAMBRANO,SANTA ISABEL,Pakal-Na,Chiapas,Palenque
,31070650135,Guía de turistas,Antonio López Montejo,Calle Matamoros sn,Palenque Centro,Chiapas,Palenque
,5070030001,Transportadora turística,Coop. de Transporte de Bienes y/o Servicios La Palma ,Domicilio Co cido,Ranchería La Palma ,Chiapas,Acapetahua
,1070780135,Hospedaje,HOTEL VILLA MERCEDES SAN CRISTOBAL,DIAGONAL HERMANOS PANIAGUA,Fátima,Chiapas,San Cristóbal de las Casas
,4070782546,Agencia de viajes,AGENCIA DE VIAJES VOY A CHIAPAS,EJERCITO NACIONAL,Cuxtitali,Chiapas,San Cristóbal de las Casas
,2071010120,Alimentos y bebidas,Starbucks Coffee Tuxtla Belisario Dominguez ,Blvd. Belisario Domínguez .,Santa Elena,Chiapas,Tuxtla Gutiérrez
,4070782540,Transportadora turística,Selva Azul Chiapas,Andador Guadalupa,San Cristóbal de las Casas Centro,Chiapas,San Cristóbal de las Casas
,31070780124,Guía de turistas,Gabriela Yazmín Fuentes Gómez,Primavera,Del Santuario,Chiapas,San Cristóbal de las Casas
,4071010137,Agencia de viajes,Excel Tours TGZ La Gloria,Avenida Rosario Sabinal ,San José Terán,Chiapas,Tuxtla Gutiérrez
,11070270002,Arrendadora de autos,Hertz,. 12.48 Carretera Vergel,Francisco Sarabia,Chiapas,Chiapa de Corzo
,11070890003,Arrendadora de autos,Hertz,Puerto Madero . 18.5,Puerto Madero Centro,Chiapas,Tapachula
,2070030002,Alimentos y bebidas,Centro Ecoturistico Las Conchitas,,Barra Zacapulco,Chiapas,Acapetahua
,1071010195,Hospedaje,Hoteles Maria Eugenia,Av. Central Oriente .,Centro,Chiapas,Tuxtla Gutiérrez
,2070030001,Alimentos y bebidas,CENTRO ECOTURISTICO EL BALLENATO,,RANCHERIA LA PALAMA,Chiapas,Acapetahua
,4071013097,Agencia de viajes,Mero Lek ,Blvr.,Villas del Rio San Isidro ,Chiapas,Tuxtla Gutiérrez
,4071010162,Transportadora turística,ECOEXPERIENCIAS TOUR OPERADORES,5a. Oriente Norte No. ,Tuxtla Gutiérrez Centro,Chiapas,Tuxtla Gutiérrez
,4070892311,Agencia de viajes,VIAJES MIXCUM,4a. Sur ,Tapachula Centro,Chiapas,Tapachula
,4071013007,Agencia de viajes,DC TRAVEL,5A. SUR PONIENTE,Las Canoitas,Chiapas,Tuxtla Gutiérrez
,31070650133,Guía de turistas,FERNANDO FUENTES MUÑOZ,AV. 5 de mayo,Las Joyas,Chiapas,Palenque
,1070780184,Hospedaje,HOTEL ROCAVAL,Calzada Mexico,Fátima,Chiapas,San Cristóbal de las Casas
,4070782554,Agencia de viajes,OTISA,Andador Real de Guadalupe .,San Cristóbal de las Casas Centro,Chiapas,San Cristóbal de las Casas
,5070780786,Transportadora turística,OTISA,Andador Real de Guadalupe .,San Cristóbal de las Casas Centro,Chiapas,San Cristóbal de las Casas
,31070780014,Guía de turistas,OSCAR GOMEZ RUEDA,FELIPE W MIJANGOS .,La Isla,Chiapas,San Cristóbal de las Casas
,1071010125,Hospedaje,Hotel Alberto,PRIMERA PONIENTE SUR,Tuxtla Gutiérrez Centro,Chiapas,Tuxtla Gutiérrez
,31070650148,Guía de turistas,Laureano Arcos Cortes,Avenida,Palenque Centro,Chiapas,Palenque
,5070030002,Transportadora turística,COOPERATIVA DE TRANSPORTE BARRA DE ACAPETAHUA ,,BARRA ZACAPULCO,Chiapas,Acapetahua
,2071010142,Alimentos y bebidas,Restaurante Liverpool Tuxtla Oriente,Chiapa de Corzo,El Retiro,Chiapas,Tuxtla Gutiérrez
,31070780063,Guía de turistas,MARIE CHRISTINE JOANNA RICHARD PAUWELS,PROLONGACION FRANCISCO LEON ,Tepeyac,Chiapas,San Cristóbal de las Casas
,1070780155,Hospedaje,YOX HOTEL,FRANCISCO I. MADERO,San Cristóbal de las Casas Centro,Chiapas,San Cristóbal de las Casas
,4070782557,Agencia de viajes,NUCU TRAVEL SA DE CV ,BELISARIO DOMINGUEZ,San Cristóbal de las Casas Centro,Chiapas,San Cristóbal de las Casas
,4070940001,Agencia de viajes,Transportadora Turistica Av Chiapas ,Decima Sur,San An tonio El Ramajal,Chiapas,Teopisca
,1071010191,Hospedaje,Hotel Jacaranda,Av.,Tuxtla Gutiérrez Centro,Chiapas,Tuxtla Gutiérrez
,1070780192,Hospedaje,HOTEL TEPEYAC,CALLE REAL DE GUADLAUPE,Guadalupe,Chiapas,San Cristóbal de las Casas
,1070030002,Hospedaje,Centro Ecoturistico El Ballenato,,Ranchería La Palma,Chiapas,Acapetahua
,4071010219,Agencia de viajes,VIAJES CON ESTILO,10A ORIENTE SUR,Ampliación Terán,Chiapas,Tuxtla Gutiérrez
,4070782542,Agencia de viajes,Chiapas Adventure,Canadá .,De Mexicanos,Chiapas,San Cristóbal de las Casas
,5070780776,Transportadora turística,Operadora Turística Explorando Chiapas,Real Guadalupe .,Guadalupe,Chiapas,San Cristóbal de las Casas
,31070650177,Guía de turistas,Cristobal Arcos Vázquez,Calle Principal,Colonia Adolfo López Mateos,Chiapas,Palenque
,2071010080,Alimentos y bebidas,Restaurant Marruecos,PRIMERA PONIENTE SUR,Tuxtla Gutiérrez Centro,Chiapas,Tuxtla Gutiérrez
,35071010002,Tour operador,Viaje por Chiapas,8A PONIENTE NORTE no,Tuxtla Gutiérrez Centro,Chiapas,Tuxtla Gutiérrez
