review,Folio Solicitud,Tipo PST,Nombre Comercial,Calle,Colonia,Estado,Municipio
,2090120102,Alimentos y bebidas,Burger King Insurgentes ,Insurgentes Sur,Tlalpan,Ciudad de México,Tlalpan
,2090120103,Alimentos y bebidas,Burger King Coapa ,Calzada del Hueso,Residencial Acoxpa,Ciudad de México,Tlalpan
,4090101368,Agencia de viajes,Viajes Excellence,Vasco de Quiroga .,Santa Fe,Ciudad de México,Álvaro Obregón
,4090171462,Agencia de viajes,Lucca Travel ,Avenida Revolución,Los Alpes,Ciudad de México,Álvaro Obregón
,4090141691,Agencia de viajes,Go-Jpan Travel,Av. Patriotismo .,San Pedro de los Pinos,Ciudad de México,Benito Juárez
,4090144362,Agencia de viajes,Unovive Travel ,Avenida Insurgentes Sur,Insurgentes San Borja ,Ciudad de México,Benito Juárez
,2090170107,Alimentos y bebidas,Italianni´s,Oriente 158,Moctezuma 2a Sección,Ciudad de México,Venustiano Carranza
,2090157831,Alimentos y bebidas,EL MANJAR,Calle Tabasco,Roma Norte,Ciudad de México,Cuauhtémoc
,31090070106,Guía de turistas,Leticia Leal Landeros ,Oculistas .,El Sifón,Ciudad de México,Iztapalapa
,31090070107,Guía de turistas,Cesar Gabriel Martínez Guzmán ,Oculistas,El Sifón,Ciudad de México,Iztapalapa
,4090164346,Agencia de viajes,Worldwide Travel,BLVD MANUEL AVILA CAMACHO,Polanco I Sección,Ciudad de México,Miguel Hidalgo
,4090161394,Agencia de viajes,Agarra tus Maletas,Ricardo Flores Magón,Atlampa,Ciudad de México,Cuauhtémoc
,1090150892,Hospedaje,Hotel Ibis México Alameda,Av. Balderas .,Centro (Área 5),Ciudad de México,Cuauhtémoc
,1090150648,Hospedaje,Hotel Mi Casa,General Prim,Juárez,Ciudad de México,Cuauhtémoc
,4090161298,Agencia de viajes,Viajes El Corte Inglés ,Calz. General Maria Escobedo .,Polanco I Sección,Ciudad de México,Miguel Hidalgo
,1090150630,Hospedaje,Hotel Royal Reforma,Amberes ,Juárez,Ciudad de México,Cuauhtémoc
,4090161464,Agencia de viajes,Faymex Viajes,Calle Arquímedes ,Polanco V Sección,Ciudad de México,Miguel Hidalgo
,01090162baab6,Hospedaje,Orchid House Hotels,Campos Eliseos,Polanco V Sección,Ciudad de México,Miguel Hidalgo
,27090160029,Agencia integradora de servicios,Meca International DMC,Lamartine .,Polanco V Sección,Ciudad de México,Miguel Hidalgo
,1090139533,Hospedaje,Hotel Cabanna,Aquiles Serdán .,Guadalupita,Ciudad de México,Xochimilco
,1090150903,Hospedaje,Hotel Canadá,Av. 5 de Mayo,Centro (Área 1),Ciudad de México,Cuauhtémoc
,4090054341,Agencia de viajes,RECORRAMOS MÉXICO,HACIENDA PIRINEOS CASA M,PRADOS DE CUAUTEPEC,Ciudad de México,Gustavo A. Madero
,1090050100,Hospedaje,MINK,EJE 3 OTE ING EDUARDO MOLINA,Ampliación San Juan de Aragón,Ciudad de México,Gustavo A. Madero
,2090157861,Alimentos y bebidas,El Ebro,"Alfredo Chavero, .",Obrera,Ciudad de México,Cuauhtémoc
,4090054290,Agencia de viajes,Viajes Coracao,Camino Satisfacción .,Campestre Aragón,Ciudad de México,Gustavo A. Madero
,1090029837,Hospedaje,HOTEL Y VILLAS PANAMA,AV. CUITLAHUAC,Obrero Popular,Ciudad de México,Azcapotzalco
,1090150968,Hospedaje,Hotel PISA,Av. Insurgentes Centro .,Tabacalera,Ciudad de México,Cuauhtémoc
,31090140127,Guía de turistas,Gloria Angélica Corona Barrera,Calle Valencia .,Colonia Insurgentes Mixcoac,Ciudad de México,Benito Juárez
,1090150535,Hospedaje,Hotel Casa Blanca Internacional,Coahuila ,Roma Norte,Ciudad de México,Cuauhtémoc
,4090130061,Agencia de viajes,Holiday Travel Zafiro Tours,Lazaro Cardenas ,Santa Cruz Acalpixca,Ciudad de México,Xochimilco
,4090130078,Agencia de viajes,Viajes Maresal,Rincon del Puente,Bosque Residencial del Sur,Ciudad de México,Xochimilco
,27090160017,Agencia integradora de servicios,"INTEGRADORES BTS, S.A DE C.V",Rodolfo Gaona ,Lomas de Sotelo,Ciudad de México,Miguel Hidalgo
,4090151639,Agencia de viajes,Alifante Tur,Florencia,Juárez,Ciudad de México,Cuauhtémoc
,4090141426,Agencia de viajes,Viajes Bazal,Av. Eugenia ,Del Valle Centro,Ciudad de México,Benito Juárez
,4090071675,Agencia de viajes,Tengo Viajes ,Ignacio Zaragoza .,Miguel de la Madrid ,Ciudad de México,Iztapalapa
,4090021436,Agencia de viajes,Dragonfly Travel ,,Arenal,Ciudad de México,Azcapotzalco
,1090170848,Hospedaje,Hotel Rio Miño,Miguel Domínguez .,Ampl. Penitenciaria ,Ciudad de México,Venustiano Carranza
,1090151015,Hospedaje,Hotel Heroes,Heroes,Guerrero,Ciudad de México,Cuauhtémoc
,1090151014,Hospedaje,Hotel Ribadavia,wagner,ex hipodromo de peralvillo,Ciudad de México,Cuauhtémoc
,1090090088,Hospedaje,Hilton Mexico City Santa Fe,Av. Antonio Dovali Jaime,Lomas de Santa Fe,Ciudad de México,Álvaro Obregón
,4090101713,Agencia de viajes,Universe Travel,Canario .,Tolteca,Ciudad de México,Álvaro Obregón
,1090050134,Hospedaje,Motel Afrodita,Av. Instituto Politecnico Nacional .,Tlacamaca,Ciudad de México,Gustavo A. Madero
,1090060043,Hospedaje,Motel Suites Extasis,Xochimilco .,Agricola Pantitlan,Ciudad de México,Iztacalco
,4090101714,Agencia de viajes,Vive Frida,Río San Angel .,Atlamaya,Ciudad de México,Álvaro Obregón
,31090070453,Guía de turistas,Ivan Alexander maldonado Ibarra,Andador,Ejercito de Oriente,Ciudad de México,Iztapalapa
,4090054274,Agencia de viajes,Viajes Pegaso Tepeyac,Av. Henrry Ford .,Guadalupe Tepeyac,Ciudad de México,Gustavo A. Madero
,4090071366,Agencia de viajes,Viajes Pegaso Zaragoza.,Calzada Ignacio Zaragoza .,Juan Escutia,Ciudad de México,Iztapalapa
,4090071416,Agencia de viajes,Elmers Travel,Eje,Chinampac de Juárez,Ciudad de México,Iztapalapa
,2090160194,Alimentos y bebidas,Chili´s,Av. Ejército Nacional ,Granada,Ciudad de México,Miguel Hidalgo
,31090050164,Guía de turistas,Gabriela Moreno Cruz,Av. Union .,Tepeyac Insurgentes,Ciudad de México,Gustavo A. Madero
,4090031763,Agencia de viajes,Naser Travel, División del rte .,San Diego Churubusco,Ciudad de México,Coyoacán
,4090144332,Agencia de viajes,Perro Mochilero,Recreo .,Actipan,Ciudad de México,Benito Juárez
,01090167209ea,Hospedaje,Hotel Presidente Intercontinental Ciudad de México,Campos Eliseos,Polanco V Sección,Ciudad de México,Miguel Hidalgo
,35190190006,Tour operador,Travelander,Fernández Leal ,Cuadrante de San Francisco,Ciudad de México,Coyoacán
