review,Folio Solicitud,Tipo PST,Nombre Comercial,Calle,Colonia,Estado,Municipio
,2060070056,Alimentos y bebidas,Starbucks Coffee Manzanillo Blvd. Madrid,Blvd. Miguel de la Madrid .,Valle de las Garzas I,Colima,Manzanillo
,2060020043,Alimentos y bebidas,Starbucks Coffee Colima Sevilla ,Av. Sevilla del Río .,Jardines Vista Hermosa,Colima,Colima
,2060020045,Alimentos y bebidas,Burger King Sevilla,Av. Felipe de Sevilla del Río .,Jardines Vista Hermosa,Colima,Colima
,11060070003,Arrendadora de autos,Thrifty,Carretera Manzanillo Barra de Navidad . 42,Playa de Oro,Colima,Manzanillo
,11060070002,Arrendadora de autos,Hertz,Carretera Manzanillo Barra de Navidad,Playa de Oro,Colima,Manzanillo
,1060079467,Hospedaje,Hotel Las Hadas ,Av. De Los Riscos y Av. Vista Hermosa,Península de Santiago,Colima,Manzanillo
,4060023411,Agencia de viajes,Horizontes Infinitos,Ópalo,Diamantes,Colima,Colima
,2060100009,Alimentos y bebidas,Domino´s Pizza,Av. Bénito Juárez .,Las Palomas Residencial,Colima,Villa de Álvarez
,2060020050,Alimentos y bebidas,Restaurante Liverpool Colima ,Lateral Paseo Miguel de la Madrid ,Real Vista Hermosa,Colima,Colima
,2060020046,Alimentos y bebidas,Burger King Colima Zentralia,Tercer Anillo Periférico Zona,Hacienda Real,Colima,Colima
,29060070001,Campo de golf,CAMPO DE GOLF LAS HADAS,AV. DE LOS RISCOS Y AV. VISTA HERMOSA SN,Península de Santiago,Colima,Manzanillo
,2060070008,Alimentos y bebidas,RESTAURANT BAR EL PALMAR,AV DE LOS RISCOS Y VTA HERMOSA SN,Península de Santiago,Colima,Manzanillo
,2060070007,Alimentos y bebidas,RESTAURANT BAR LOS DELFINES,AV DE LOS RISCOS Y VTA HERMOSA SN,Las Hadas,Colima,Manzanillo
,2060070005,Alimentos y bebidas,PIANO BAR LOUNGE,AV DE LOS RISCOS Y AV VISTA HERMOSA SN,Península de Santiago,Colima,Manzanillo
,2060070003,Alimentos y bebidas,BAR EL OASIS,AV. DE LOS RISCOS Y AV. VISTA HERMOSA SN,Península de Santiago,Colima,Manzanillo
,2060070010,Alimentos y bebidas,BAR TORRE DEL AGUA,AV DE LOS RISCOS Y VTA HERMOSA SN,Península de Santiago,Colima,Manzanillo
,2060070009,Alimentos y bebidas,RESTAURANT BAR LEGAZPI,AV. DE LOS RISCOS Y AV. VISTA HERMOSA SN,Península de Santiago,Colima,Manzanillo
,2060070004,Alimentos y bebidas,RESTAURANT BAR LA MANTARRAYA,AV. DE LOS RISCOS Y AV. VISTA HERMOSA SN,Península de Santiago,Colima,Manzanillo
,2060020048,Alimentos y bebidas,Burger King Sevilla ,Av. Felipe Sevilla del Rio .,Jardines Vista Hermosa,Colima,Colima
,2060020052,Alimentos y bebidas,Burger King Colima Centralia ,Tercer Anillo Periférico Ote. .,Valle Dorado,Colima,Colima
,2060100018,Alimentos y bebidas,Starbucks Coffee,Paseo Lic. Miguel de la Madrid Hurtado .,Real Hacienda,Colima,Villa de Álvarez
,2060100019,Alimentos y bebidas,Starbucks Coffee,Av. María Ahumada de Gómez .,Campestre,Colima,Villa de Álvarez
,30060070001,Guardavida/salvavida,CÉSAR FÉLIX QUINTERO DÍAZ,BAHÍA DE SANTIAGO,Santiago,Colima,Manzanillo
,4060023403,Agencia de viajes,RUTAS AGENCIA DE VIAJES,VENUSTIANO CARRANZA no,Residencial Real Santa Bárbara,Colima,Colima
,2060070068,Alimentos y bebidas,Burger King Manzanillo ,Blvd. Miguel de la Madrid .,Soleares,Colima,Manzanillo
,4060023412,Agencia de viajes,MULTIVIAJES MINERVA,FRANCISCO ZARAGOZA DE LA FUENTE,FRNACISCO ZARAGOZA VAZQUEZ,Colima,Colima
,1060079403,Hospedaje,City Express Manzanillo By Marriott,Blvd. Miguel de la Madrid Hurtado .,Playa Azul,Colima,Manzanillo
,27060020004,Agencia integradora de servicios,TesorAlma,MORELOS no,Colima Centro,Colima,Colima
,30060020001,Guardavida/salvavida,Gustavo Alfredo Ríos Peña,ROBERTO ESPERON,De los Trabajadores,Colima,Colima
,30060020002,Guardavida/salvavida,Fred David Manzo Canales,Roberto Esperón,De los Trabajadores,Colima,Colima
,30060020003,Guardavida/salvavida,Gilberto Fidel Hernández Martínez,ROBERTO ESPERON,De los Trabajadores,Colima,Colima
,30060020004,Guardavida/salvavida,Miguel Alejandro Michel Reynaga,Roberto Esperón,De los Trabajadores,Colima,Colima
,30060020005,Guardavida/salvavida,Noé Omar Cárdenas Rosales,Roberto Esperón,De los Trabajadores,Colima,Colima
,2060070064,Alimentos y bebidas,Domino´s Pizza Manzanillo,Blvd. Miguel de la Madrid .,Salagua,Colima,Manzanillo
,2060020053,Alimentos y bebidas,DOMINO´S PIZZA  COLIMA,Avenida. Felipe de Sevilla del Rio .,Jardines Vista Hermosa,Colima,Colima
,31060075707b1,Guía de turistas,Hector Faustino Sandoval Fierros,Miguel de la Madrid,Playa Azul,Colima,Manzanillo
,050601080da7a,Transportadora turística,Kados Ruah Tours S.A. de C.V.,Jose Ahumada Salazar,Alfredo V. Bonfil,Colima,Villa de Álvarez
,27060079e2e43,Agencia integradora de servicios,Enterprise Professional Services,Isla Tiburon,Villas del Pacífico,Colima,Manzanillo
,0106007ad1421,Hospedaje,HOTEL ALBATROS PALACE,PEDRO SALAZAR,Las Palmas,Colima,Manzanillo
,010600242073a,Hospedaje,HOTEL MARIA ISABEL,CAMINO REAL,Jardines Vista Hermosa,Colima,Colima
,0206002355138,Alimentos y bebidas,GUACAMAYAS,IGNACIO SANDOVAL,Jardines Vista Hermosa,Colima,Colima
,010600549eaf2,Hospedaje,HOTEL ZAR COLIMA,KILOMETRO,Lagunilla,Colima,Cuauhtémoc
,02060059a75bc,Alimentos y bebidas,CAFETERÍA HOTEL ZAR COLIMA ,GUADALAJARA COLIMA,El Trapiche,Colima,Cuauhtémoc
,0206002a100a9,Alimentos y bebidas,Yayaco!,IGNACIO SANDOVAL,Girasoles,Colima,Colima
,310600727f5ce,Guía de turistas,JUVENTINO CHAVEZ FIGUEROA,TABACHIN,Arboledas,Colima,Manzanillo
,0406010caeffb,Agencia de viajes,RS VIAJES REY COLIMAN,PASEO DE AZALEAS,Jardines de Bugambilias,Colima,Villa de Álvarez
,0406002477346,Agencia de viajes,AGENCIA DE VIAJES VUELA,CAMINO REAL,El Diezmo,Colima,Colima
,01060028c41af,Hospedaje,HOTEL SAN FRANCISCO,MACLOVIO HERRERA,Fátima,Colima,Colima
,01060070da530,Hospedaje,HOLIDAY INN EXPRESS MANZANILLO,MIGUEL DE LA MADRID,Tapeixtles,Colima,Manzanillo
,04060023da331,Agencia de viajes,BAGARY TRAVEL,MARIE CURIE,El Chanal,Colima,Colima
,04060028bdfb3,Agencia de viajes,RUTAS AGENCIA DE VIAJES,VENUSTIANO CARRANZA,Residencial Real Santa Bárbara,Colima,Colima
,35060078e1ef2,Tour operador,Experience Mex-ECO Tours,Miguel de la Madrid,Nuevo Salagua,Colima,Manzanillo
,0406009bd71c2,Agencia de viajes,Tecol Travel,PEDRO TORRES ORTIZ,La Unión,Colima,Tecomán
,0406002c76eb7,Agencia de viajes,MASS VIAJES,CORREDOR,El Diezmo,Colima,Colima
,0206007a49ddb,Alimentos y bebidas,RESTAURANTE EL MARINERO,MARBELLA,Playa Azul,Colima,Manzanillo
,0106007b4cf73,Hospedaje,HOTEL MARBELLA,MARBELLA,Playa Azul,Colima,Manzanillo
,02060075f5bc3,Alimentos y bebidas,Bar El Coco Loco,Av de los Riscos,Península de Santiago,Colima,Manzanillo
,0206007d4c5f9,Alimentos y bebidas,Señor Sushi,MIGUEL DE LA MADRID HURTADO,Nuevo Salagua,Colima,Manzanillo
,0406002aaed2b,Agencia de viajes,Horizontes Infinitos,ÓPALO,Diamantes,Colima,Colima
,04060022c9123,Agencia de viajes,PRÓXIMO DESTINO,Av. DE LOS MAESTROS,La Armonía,Colima,Colima
,02060074473d7,Alimentos y bebidas,RESTAURANT MAR CELESTE,PLAYA MIRAMAR,Nuevo Miramar,Colima,Manzanillo
,0206002feed28,Alimentos y bebidas,RESTAURANTE IL VENTO,TERCER ANILLO PERIFERICO,El Diezmo,Colima,Colima
,040600734b5fb,Agencia de viajes,GOATS TOURS AND TRAVEL,ANCILLAS,Marimar,Colima,Manzanillo
,0206007f41c85,Alimentos y bebidas,MARISCOS DOÑA CONCHA BOULEVARD,BOULEVARD MIGUEL DE LA MADRID,Playa Azul,Colima,Manzanillo
,0406007b88346,Agencia de viajes,Dream and travel ,Miguel Hidalgo,Tapeixtles,Colima,Manzanillo
,010600375105a,Hospedaje,VOLCÁN Y CAFÉ AGENCIA TURÍSTICA,GARDENIA,Cofradía de Suchitlán,Colima,Comala
,3506003322cc8,Tour operador,Volcán y Café Agencia Turística,GARDENIA,Suchitlán,Colima,Comala
,0206007e83b5a,Alimentos y bebidas,Señor Sushi Centro,BENITO JUÁREZ NO.,Manzanillo Centro,Colima,Manzanillo
,010600761a6ff,Hospedaje,HOTEL BARCELO KARMINA,VISTA HERMOSA,Península de Santiago,Colima,Manzanillo
,02060076de4cb,Alimentos y bebidas,LOBBY BAR,VISTA HERMOSA,Península de Santiago,Colima,Manzanillo
,0206007b55561,Alimentos y bebidas,POOL BAR,VISTA HERMOSA,Península de Santiago,Colima,Manzanillo
