review,Folio Solicitud,Tipo PST,Nombre Comercial,Calle,Colonia,Estado,Municipio
,2110150131,Alimentos y bebidas,RESTAURANTE CARNES EN SU JUGO DEL CHARRO,CARRETERA DE CUOTA GUANAJUATO SILAO,Yerbabuena,Guanajuato,Guanajuato
,31110150162,Guía de turistas,Manuel Villegas Aguilar,Callejón Pochote .,Guanajuato Centro,Guanajuato,Guanajuato
,4110200714,Agencia de viajes,VIAJA AGENCIA,Nubes,Jardines del Moral,Guanajuato,León
,4110200778,Agencia de viajes,CHAVOS VLOGS VIAJES,BLVD. SAN PEDRO,Oriental,Guanajuato,León
,2110150017,Alimentos y bebidas,TAQUERIA TROMPO DE SAN JAVIER,CARRETERA A DOLORES HIDALGO 1,San Javier 1,Guanajuato,Guanajuato
,2110150016,Alimentos y bebidas,RESTAURAN CASA VIRREYES,PONCIANO AGUILAR .,Guanajuato Centro,Guanajuato,Guanajuato
,4110200544,Agencia de viajes,Agencia de Destinos Feliz Viaje ,Contratistas de Aurora,Portales de La Arboleda,Guanajuato,León
,1110330017,Hospedaje,La Casona Minera,,MINERAL DE POZOS,Guanajuato,San Luis de la Paz
,2110090016,Alimentos y bebidas,TAMALES TRADICIONALES CHAMACUERO,Morelos,Centro,Guanajuato,Comonfort
,2110200140,Alimentos y bebidas,Domino´s Pizza Leon Centro ,Blvd. Adolfo Lopez Mateos .,Jardines de Jerez,Guanajuato,León
,2110075952,Alimentos y bebidas,Domino´s Pizza Celaya II ,Av. Adolfo Lopez Mateos ,Parque Central,Guanajuato,Celaya
,1110030221,Hospedaje,Rosewood San Miguel,Nemesio Diez .,San Miguel de Allende Centro,Guanajuato,San Miguel de Allende
,4110200738,Agencia de viajes,VIAJES OLAM,CTO. HEROES DE TENANCINGO,Ciudad Aurora,Guanajuato,León
,4110200933,Agencia de viajes,Feliz Viaje RochBel,Caliz .,Arboledas de Ibarrilla,Guanajuato,León
,4110200762,Agencia de viajes,ESTACIÓN NÓMADA,PASEO DEL MORAL ,Jardines del Moral,Guanajuato,León
,4110200869,Agencia de viajes,Feliz Viaje Airam,Cananea,Killian,Guanajuato,León
,1110200108,Hospedaje,City Express by Marriott Leon,BLVD. ADOLFO LÓPEZ MATEOS,San Isidro de Jerez,Guanajuato,León
,4110170132,Agencia de viajes,Regivanna Travel ,Calle Leandro Valle .,San José,Guanajuato,Irapuato
,4110170075,Agencia de viajes,AGENCIA DE VIAJES J R,Dr Manuel Araiza Noyola,Las Pergolas,Guanajuato,Irapuato
,2110150105,Alimentos y bebidas,Starbucks Coffee Centro Guanajuato ,Jardín de la Unión .,Marfil Centro,Guanajuato,Guanajuato
,31110030031,Guía de turistas,LEONARDO VALENZUELA MARTINEZ,INSURGENTES,San Miguel de Allende Centro,Guanajuato,San Miguel de Allende
,1110030214,Hospedaje,Hotel La Casona 30,CAMINO VIEJO AL PANTEON,Allende,Guanajuato,San Miguel de Allende
,2110030014,Alimentos y bebidas,LEBASI RESTAURANTE BAR,CAMINO VIEJO AL PANTEON,Allende,Guanajuato,San Miguel de Allende
,11100310000,Hospedaje,Albor Hotel Tapestry Collection by Hilton,Camino 3 cruces,Valle del Maíz,Guanajuato,San Miguel de Allende
,4110200581,Agencia de viajes,VIAJES BAJIO,ADOLFO  LOPEZ MATEOS,Peñitas,Guanajuato,León
,2110330004,Alimentos y bebidas,Cuanax Mezcaleria,Cami a la potosina,mineral de pozos,Guanajuato,San Luis de la Paz
,31110030063,Guía de turistas,Ricardo Tellez Muñoz,Alamo .,Jardines II,Guanajuato,San Miguel de Allende
,4110200604,Agencia de viajes,Agencia Turista Viajes.com By Fraveo  ,Circuito Hacienda Temozon .,Hacienda Los Otates,Guanajuato,León
,4110170137,Agencia de viajes,Zafiro World Travel Bajío,Blvd. Díaz Ordaz,Las Reynas,Guanajuato,Irapuato
,31110030068,Guía de turistas,FEDERICO PEREZ LEON,ZACATEROS,CENTRPO,Guanajuato,San Miguel de Allende
,31110030059,Guía de turistas,Emma Guadalupe Salazar Gómez,Calle de las Fuentes,Santa Julia,Guanajuato,San Miguel de Allende
,1110209987,Hospedaje,VILLASECA HOTEL & GOLF,Carretera León - San Felipe Km 11.5,Sierra de Lobos,Guanajuato,León
,29110200001,Campo de golf,VILLASECA HOTEL & GOLF,Carretera León - San Felipe Km 11.5,Sierra de Lobos,Guanajuato,León
,4110200926,Agencia de viajes,ELIJO VIAJAR,JARDIN DE LA CRUZ,JARDINES DE SAN JAUN,Guanajuato,León
,4110200917,Agencia de viajes,Travesía Agencia de Viajes ,Blvr Agustín Téllez Cruces .,Arboledas de Señora ,Guanajuato,León
,1110209989,Hospedaje,RADISSON POLIFORUM PLAZA LEON,BLVD ADOLFO LOPEZ MATEOS,BARRIO DE GUADALUPE,Guanajuato,León
,31110030065,Guía de turistas,Felipe de Jesús Aceves Delgado,Manantial,Allende,Guanajuato,San Miguel de Allende
,4110200940,Agencia de viajes,VIAJES RODRIGUEZ,Gutiérrez Najera,Santiago,Guanajuato,León
,4110030012,Agencia de viajes,Feliz Viaje San Miguel Allende,Av. Principal La Luz .,La Luz,Guanajuato,San Miguel de Allende
,1110209980,Hospedaje,Hotel Holiday Inn Centro de Convenciones,"Blvd. Adolfo López Mateos, .",Bugambilias,Guanajuato,León
,4110200876,Agencia de viajes,Amor Viajero,SANTO DOMINGO,Obrera,Guanajuato,León
,4110170065,Agencia de viajes,COSMOS TRAVEL SA DE CV,AV. PROL GUERRERO,Las Plazas,Guanajuato,Irapuato
,4110200766,Agencia de viajes,Feliz Viaje Inolvidable,Circuito Bosque Jagua ,El Dorado,Guanajuato,León
,4110070167,Agencia de viajes,Serpat Travel,Profesores .,Residencial Nuevo Tecnológico,Guanajuato,Celaya
