review,Folio Solicitud,Tipo PST,Nombre Comercial,Calle,Colonia,Estado,Municipio
,4170070147,Agencia de viajes,Viajes El Corte Inglés,Av. de los 50 metros,Ricardo Flores Magón,Morelos,Cuernavaca
,2170076731,Alimentos y bebidas,MADAME CHOUX MX,CALLE  TULIPAN SUIZO N°,TULIPANES,Morelos,Cuernavaca
,35170120002,Tour operador,Espiritu del Lago Ensamble Ancestral ,Calle Emilia Zapata s/n,"Tequesquitengo, centro ",Morelos,Jojutla
,1170070220,Hospedaje,QUINTA ANGELES,AVENIDA CUAUHTEMOC N°,LAS QUINTAS MARTHAS,Morelos,Cuernavaca
,2170076740,Alimentos y bebidas,JUAREZ 4 EVER,BOULEVARD BENITO JUAREZ N°,CENTRO,Morelos,Cuernavaca
,2170076738,Alimentos y bebidas,Mega Salud Restaurante Envida,Av. Miguel Hidalgo .,Centro Temixco,Morelos,Cuernavaca
,1170070224,Hospedaje,HOTEL CASA DE CAMPO,CALLE ABASOLO N°,CENTRO,Morelos,Cuernavaca
,1170070225,Hospedaje,CASA ARCANGELES,CALLE GALEANA N°,CENTRO,Morelos,Cuernavaca
,4170110014,Agencia de viajes,Viajes Civac ,Av. 48 Norte,CIVAC,Morelos,Jiutepec
,1170070222,Hospedaje,SUITES LAS PLAZAS,CALLE GUTEMBERG N°,CENTRO,Morelos,Cuernavaca
,31170070022,Guía de turistas,ARTURO GALINDO GODÍNEZ,CALLE,CHIPITLAN,Morelos,Cuernavaca
,31170060001,Guía de turistas,DIANA LAURA GONZAGA JAHEN,CALLE FLORES ROJAS,CASASANO,Morelos,Cuautla
,31170070023,Guía de turistas,NAYELLI MARLEN MARTÍNEZ BARRIOS,CALLE,LOMAS DE TZONPANTLE,Morelos,Cuernavaca
,31170070024,Guía de turistas,VERÓNICA PINZÓN DELGADO,CALLE ALVARO OBREGÓN N°,CENTRO,Morelos,Cuernavaca
,31170200007,Guía de turistas,ANABEL MUZQUIZ ARRATIA,CALLE MORELOS N°,PUEBLO SANTIAGO TETLAPA,Morelos,Tepoztlán
,31170060002,Guía de turistas,ROSA MARÍA LUA MANCERA,CALLE REVOLUCIÓN N°,HERMENEGILDO GALEANA,Morelos,Cuautla
