review,Folio Solicitud,Tipo PST,Nombre Comercial,Calle,Colonia,Estado,Municipio
,4190260996,Agencia de viajes,Viajes Bumeran Guadalupe,Nardo,3 Caminos,Nuevo León,Guadalupe
,2190060041,Alimentos y bebidas,Starbucks Coffee Aeropuerto Mty TC AMB,Carretera Miguel Alemán,Ciudad Apodaca Centro,Nuevo León,Apodaca
,1190469482,Hospedaje,HOTEL NH MONTERREY LA FE ,MIGUEL ALEMAN,La Talaverna,Nuevo León,San Nicolás de los Garza
,2190397275,Alimentos y bebidas,Starbucks Coffee Galerías Monterrey ,Av. Insurgentes .,Vista Hermosa,Nuevo León,Monterrey
,2190397276,Alimentos y bebidas,Starbucks Coffee Tec de Monterrey,Av. Eugenio Garza Sada .,Tecnológico,Nuevo León,Monterrey
,2190397277,Alimentos y bebidas,Starbucks Coffee Cumbres,Av. Paseo de los Leones .,Las Cumbres,Nuevo León,Monterrey
,2190397278,Alimentos y bebidas,Starbucks Coffee Galerías Valle,Av. Lázaro Cárdenas .,Valle del Mirador,Nuevo León,Monterrey
,4190460967,Agencia de viajes,NIA TRAVEL ,BETA,Viejo Roble,Nuevo León,San Nicolás de los Garza
,4190060943,Agencia de viajes,OHANA HUAKAI,MIRLA no,Ventura de Asís Segundo Sector,Nuevo León,Apodaca
,4190391202,Agencia de viajes,VIA VIAJES,Avenida Revolución,Torremolinos,Nuevo León,Monterrey
,4190391208,Agencia de viajes,Viajes Bumeran Monterrey Centro ,Av. Juárez ,Monterrey Centro,Nuevo León,Monterrey
,4190261023,Agencia de viajes,Sunset-Agencia de viajes ,México .,Las Gaviotas ,Nuevo León,Guadalupe
,1190390164,Hospedaje,City Express Plus By Marriott Monterrey Nuevo Sur,Av. Revolución .,Ladrillera,Nuevo León,Monterrey
,4190461047,Agencia de viajes,Signus Agencia,Francisco I. Madero,Centro,Nuevo León,San Nicolás de los Garza
,2190467261,Alimentos y bebidas,Starbucks Coffee Anahuac ,Av. Universidad .,Anáhuac,Nuevo León,San Nicolás de los Garza
,2190397290,Alimentos y bebidas,Starbucks Coffee Churubusco DT,Miguel Alemán .,Churubusco,Nuevo León,Monterrey
,2190397383,Alimentos y bebidas,Nikkori Tec,Av. Eugenio Garza Sada,TECNOLOGICO,Nuevo León,Monterrey
,4190061017,Agencia de viajes,Viva Fortune Travellers Co.,San Antonio,Ventura de Asís 1,Nuevo León,Apodaca
,4190391254,Agencia de viajes,Chrystravelers Agencia de Viajes,Ramòn Corona,Centro,Nuevo León,Monterrey
,4190060841,Agencia de viajes,VIAJES OBREGON,Niquel,Nuevo las Puentes Primer Sector,Nuevo León,Apodaca
,4190061019,Agencia de viajes,Santillana Tours ,Privada Madeira .,Madeira Residencial ,Nuevo León,Apodaca
,4190480776,Agencia de viajes,SANDRA TOURS,,Adolfo López Mateos,Nuevo León,Santa Catarina
,4190391272,Agencia de viajes,Honey Weddings and Travels,JUAN ANTONIO MARTINEZ CHAVARRIA,PORTAL DE CUMBRES,Nuevo León,Monterrey
,4190391266,Agencia de viajes,To Travel,Miguel Hidalgo Y Costilla .,Colonia Centro,Nuevo León,Monterrey
,4190090037,Agencia de viajes,STARTOURS,Rosendo Garza,Centro,Nuevo León,Cadereyta Jiménez
,1190469481,Hospedaje,WYNDHAM GARDEN,AVENIDA UNIVERSIDAD,El Roble,Nuevo León,San Nicolás de los Garza
,4190391154,Agencia de viajes,Sadry Viajes by Zafiro Tours ,Marsala ,Santa Cecilia,Nuevo León,Monterrey
,4190190755,Agencia de viajes,EXCEL TOURS,Av. Jose Vasconcelos,Del Valle,Nuevo León,San Pedro Garza García
,4190391246,Agencia de viajes,Mazakali Viajes,Avenida Eugenio Garza Sada,Satélite,Nuevo León,Monterrey
,4190460239,Agencia de viajes,GLOBAL TRAVEL MONTERREY,AVENIDA FAMOSA,Cuauhtémoc,Nuevo León,San Nicolás de los Garza
,4190211191,Agencia de viajes,Servicios Admvos. de Viajes Melyan Tours,Kingston .,Priv. Canada Sector Ontario,Nuevo León,General Escobedo
,4190391255,Agencia de viajes,TRAVIAJO,MM del Lia,Centro,Nuevo León,Monterrey
,4190191003,Agencia de viajes,Itravel,Rio Missouri,Del Valle ,Nuevo León,San Pedro Garza García
,2190397385,Alimentos y bebidas,Härth Kitchen Bar Market,Av. Fundadores,Valle del Mirador,Nuevo León,Monterrey
,4190391267,Agencia de viajes,Besttravel ,Justo José de Urquiza .,San Martin ,Nuevo León,Monterrey
,4190480777,Agencia de viajes,Viajale ya by fraveo,CIRCUITO DE LOS FILOSOFOS,PRIVADAS DE SANTA CATARINA,Nuevo León,Santa Catarina
,4190460980,Agencia de viajes,Juyo Travels ,Montecarlo,Residencial los Angeles Sect 2,Nuevo León,San Nicolás de los Garza
,4190260960,Agencia de viajes,Dragon Travels,Av. Plutarco Elias Calles,Valle de las Sabinas,Nuevo León,Guadalupe
,1190390181,Hospedaje,Hotel Parque Central,AVE. PINO SUAREZ,Monterrey Centro,Nuevo León,Monterrey
