review,Folio Solicitud,Tipo PST,Nombre Comercial,Calle,Colonia,Estado,Municipio
,27211140015,Agencia integradora de servicios,CONYTUR TOUR OPERADORA & DMC, 30 PONIENTE,San Antonio,Puebla,Puebla
,4211400002,Agencia de viajes,Turquesa Viajes,3 SUR,Cholula de Rivadabia Centro,Puebla,San Pedro Cholula
,2211746720,Alimentos y bebidas,MC CARTHYS IRISH PUB,CIRCUITO JUAN PABLO II,CENTRO,Puebla,Teziutlán
,1211860020,Hospedaje,Estancia Carmelita,Calle Ambrosio Lopéz Del Castillo,Centro,Puebla,Tlatlauquitepec
,1212080042,Hospedaje,CABAÑAS LA CASCADA,ANDADOR CAMINO A LA CASCADA DE SAN PEDRO,San Pedro Atmatla,Puebla,Zacatlán
,4211142386,Agencia de viajes,BIJ TUR,AVENIDA,EL CARMEN,Puebla,Puebla
,1211140407,Hospedaje,City Express By Marriott Puebla Angelopolis,Circuito Juan Pablo II .,La Noria,Puebla,Puebla
,1212080054,Hospedaje,HOTEL POSADA DON RAMÓN,LEANDRO VALLE,CENTRO,Puebla,Zacatlán
,2211146496,Alimentos y bebidas,CASA DEL MENDRUGO,4 Sur,Centro,Puebla,Puebla
,4211142401,Agencia de viajes,Pav Yes Agencia de Viajes ,Independencia .,Los Ángeles Mayorazgo ,Puebla,Puebla
,1211140115,Hospedaje,Hotel Royalty,Portal Hidalgo,Centro,Puebla,Puebla
,1211140111,Hospedaje,Motel Milpalta,33 Norte no,Amor,Puebla,Puebla
,1211140210,Hospedaje,HOTEL POSADA GUADALUPE,AV. REFORMA,Centro,Puebla,Puebla
,4211142414,Agencia de viajes,Mochileando ando,Circuito Chapultepec Oriente,Fraccionamiento Bosques de Chapultepec,Puebla,Puebla
,31211140134,Guía de turistas,VALERIA VALDIVIA ZAMORANO,CALLE INDIANA,Vista Alegre,Puebla,Puebla
,35210190001,Tour operador,Atlixtour,Av. Hidalgo ,Atlixco Centro,Puebla,Atlixco
,27211140016,Agencia integradora de servicios,Que Loco Tours ,Calle 9 A Sur ,Prados Agua Azul,Puebla,Puebla
,28210190001,Balneario y parque acuático,Balneario las Palmas,Carretera Federal Puebla Atlixco,Santa Cruz Tehuixpango,Puebla,Atlixco
,35210430011,Tour operador,TOUR OPERADOR CUETZALAN 13,CALLE ADOLFO LÓPEZ MATEOS,PUEBLO TZICUILAN,Puebla,Cuetzalan del Progreso
,35210430012,Tour operador,TOUR OPERADOR CUETZALAN 4,Adolfo Lopez Mateos .,Pueblo Tzicuilan,Puebla,Cuetzalan del Progreso
,35210430013,Tour operador,TOUR OPERADOR CUETZALAN 6,Adolfo Lopez Mateos .,Pueblo Tzicuilan,Puebla,Cuetzalan del Progreso
,35210430014,Tour operador,TOUR OPERADOR CUETZALAN 7,Adolfo Lopez Mateos .,Pueblo Tzicuilan,Puebla,Cuetzalan del Progreso
,2211970016,Alimentos y bebidas,Restaurante La Terraza,Calle Hidalgo Número,Centro,Puebla,Xicotepec
,1211970016,Hospedaje,Hotel Plaza San Carlos,Calle Hidalgo Número,Centro,Puebla,Xicotepec
,31210430008,Guía de turistas,René Cruz Bonilla,Miguel Alvarado .,Ciudad de Cuetzalan,Puebla,Cuetzalan del Progreso
,1211140198,Hospedaje,HOTEL LA QUINTA PUEBLA,BOULEVARD XONACATEPEC .,Bosques San Sebastián,Puebla,Puebla
,1211140199,Hospedaje,AUTO-HOTEL CALIFORNIA,BOULEVARD XONACATEPEC .,Bosques San Sebastián,Puebla,Puebla
,31211880001,Guía de turistas,Flavio Pérez Calpeño ,Segunda de Juarez,Tochimilco,Puebla,Tochimilco
,4211142405,Agencia de viajes,Travelop,CALLE FRESNOS,SANTA CRUZ BUENAVISTA,Puebla,Puebla
,1211970014,Hospedaje,HOTEL REAL DE XICOTEPEC,CALLE GAVILAN,Xicotepec de Juárez Centro,Puebla,Xicotepec
,1211140415,Hospedaje,Hotel Tamara ,AVENIDA 9 PONIENTE ,Centro,Puebla,Puebla
,1211140373,Hospedaje,HOTEL COMFORT INN PUEBLA CENTRO HISTORICO,Avenida Juárez,Centro,Puebla,Puebla
,2211146837,Alimentos y bebidas,FIESTA INN PARQUE PUEBLA,CALZADA IGNACIO ZARAGOZA,Corredor Industrial La Ciénega,Puebla,Puebla
,1212080019,Hospedaje,Il Sogno,Carretera Zacatlan Chignahuapan,Zacatlán Centro,Puebla,Zacatlán
,1211140350,Hospedaje,Hotel Holiday Inn Puebla Finsa,Lateral Autopista México Puebla,Moratilla,Puebla,Puebla
,4211194160,Agencia de viajes,FELIZ VIAJE PUEBLA,Final de la recta a Cholula,San Andrés Cholula,Puebla,San Andrés Cholula
,1211140336,Hospedaje,Hotel del Capitán de Puebla,Av. 14 Oriente,Centro,Puebla,Puebla
,2211146878,Alimentos y bebidas,Mezcaleria Novicias,,centro,Puebla,Puebla
,1211140430,Hospedaje,Hotel Angeles de Puebla,7 poniente,Centro,Puebla,Puebla
,2211146877,Alimentos y bebidas,TIERRA MIA,,Centro,Puebla,Puebla
,4211142345,Agencia de viajes,CORAL TRAVEL,45 PONIENTE,Reforma Agua Azul,Puebla,Puebla
,2211090002,Alimentos y bebidas,RESTAURANT PORTAL KAFEKALLI,PORTAL BENITO JUAREZ,Ciudad de Pahuatlán de Valle,Puebla,Pahuatlán
,35210530001,Tour operador,CASA ESMERALDA,PRIVADA MANUEL AVILA CAMACHO,Chignahuapan,Puebla,Chignahuapan
,1211720002,Hospedaje,ACONCO CASCADAS Y CABAÑAS,20 DE NOVIEMBRE,Xaltatempa de Lucas,Puebla,Tetela de Ocampo
,2211146728,Alimentos y bebidas,Starbucks Coffee Puebla Zavaleta,Zavaleta .,Santa Cruz Buenavista,Puebla,Puebla
,2211146729,Alimentos y bebidas,Starbucks Coffee Huexotitla,Av 43 Oriente,Huexotitla,Puebla,Puebla
,35210530007,Tour operador,DMC Click,Calle Lic Gustavo Díaz Ordaz SN,Michac,Puebla,Chignahuapan
,35210430018,Tour operador,TOUR OPERADOR CUETZALAN 16,ADOLFO LOPEZ MATEOS,TZICUILAN,Puebla,Cuetzalan del Progreso
,35210430017,Tour operador,TOUR OPERADOR CUETZALAN 17,ADOLFO LOPEZ MATEOS, TZICUILAN,Puebla,Cuetzalan del Progreso
,27211140003,Agencia integradora de servicios,TURISSDM DMC ,Cholultecas .,Belisario Domínguez,Puebla,Puebla
,11210740001,Arrendadora de autos,Hertz,Carretera Federal Méx Pue,Real de Huejotzingo,Puebla,Huejotzingo
,11211140005,Arrendadora de autos,Hertz,Blvd. Atixco,Real de Huejotzingo,Puebla,Huejotzingo
,11210740002,Arrendadora de autos,Dollar,Carretera Federal Mex Pue,Puebla (Hermanos Serdán),Puebla,Huejotzingo
,4211140382,Agencia de viajes,Vadhoo Travels,6 sur,Lagulena,Puebla,Puebla
,2211146879,Alimentos y bebidas,Restaurante Liverpool Puebla,Hermanos Serdan ,Rancho Posadas,Puebla,Puebla
,4211142404,Agencia de viajes,VALVERDE TRAVEL,AVENIDA SAN BALTAZAR,PUEBLA,Puebla,Puebla
,31211530001,Guía de turistas,Swemy del Rosario Aguilar,2 ORIENTE no,Tecali de Herrera,Puebla,Tecali de Herrera
,31211140026,Guía de turistas,Erika Aguilar Corona,Jazmin B,San Ramón 3a Sección,Puebla,Puebla
,31210210001,Guía de turistas,Ernesto Avendaño Girón,Callejon Iglesias .,Atzala,Puebla,Atzala
,31211140027,Guía de turistas,Fernando Donovan Aguilar Santos,Calle Trueno ,Bosques de Manzanilla,Puebla,Puebla
,31211140023,Guía de turistas,Guillermo Bruno García,Calle Victoria del,Luz del Alba,Puebla,Puebla
,31211140021,Guía de turistas,Israel Cabrera García,Calle Ciencias Sociales .,UEMAC,Puebla,Puebla
,31211140022,Guía de turistas,Israel Cuapantecatl de Jesús ,141 poniente,San Bernabe Temoxtitla,Puebla,Puebla
,31211140020,Guía de turistas,Javier Méndez Hernández,Santa Rita,Santa Lucia,Puebla,Puebla
,31211140019,Guía de turistas,José Rodolfo Sánchez Ramírez,9 B norte,Villa Frontera,Puebla,Puebla
,31211140017,Guía de turistas,Luz María Fuentes Refugio,Priv B,Vista del Valle,Puebla,Puebla
,31211140015,Guía de turistas,Maria Yessel Martínez Sánchez,Valencia,Nueva San Salvador,Puebla,Puebla
,31211180001,Guía de turistas,Mileehide Torres Machorro,Calle Olivos,Los Reyes de Juárez,Puebla,Los Reyes de Juárez
,31211140014,Guía de turistas,José Gerardo Flores Montes,Calle Guadalupe Victoria .,San Baltazar Campeche,Puebla,Puebla
,31211140011,Guía de turistas,Maricela Barojas Sánchez,Priv Malinzitl .,Azcapotzalco,Puebla,Puebla
,31211140010,Guía de turistas,Salvador Nuñez Luna,11 oriente,El Salvador,Puebla,Puebla
,31211140009,Guía de turistas,Samuel Galicia Rosario,Calle Cedro .,Arboledas Guadalupe,Puebla,Puebla
,31211140006,Guía de turistas,Verónica Guadalupe Meléndez Guzmán,5 sur,El Fresno,Puebla,Puebla
,31211140029,Guía de turistas,Ángela Coyotl Cabrera,CALLE LAS FLORES ,La Providencia,Puebla,Puebla
,31211140030,Guía de turistas,Antonio Romero Pérez,Av. Santa Lucía,Santa Catarina,Puebla,Puebla
,31211140031,Guía de turistas,Araceli Lozada Rodríguez,A Oriente de la 16 de septiembre,16 de Septiembre Sur,Puebla,Puebla
