review,Folio Solicitud,Tipo PST,Nombre Comercial,Calle,Colonia,Estado,Municipio
,31220090002,Guía de turistas,PIOQUINTO GARCÍA GUZMÁN,Curva Colorada,Curva Colorada,Querétaro,Pinal de Amoles
,35220060001,Tour operador,Vive Disfruta México ,Calle Alcatraz,El Paraiso ,Querétaro,Corregidora
,32220060006,Operadora de aventura/naturaleza,Cetia-ti Campamento y Expediciones,Jose Clemente,Pueblo Nuevo ,Querétaro,Corregidora
,2220160013,Alimentos y bebidas,Starbucks Coffee Carretera México Qro DT II ,Autopista Federal 57 México Querétaro Km 143 300,San Isidro Labrador,Querétaro,San Juan del Río
,4220140355,Agencia de viajes,Miró Travel Milenio,Senda Magica,Milenio 3a. Sección,Querétaro,Querétaro
,1220140239,Hospedaje,Hotel Holiday Inn Zona Diamante,Anillo Vial II Fray Junípero Serra,Arboledas,Querétaro,Querétaro
,1220140249,Hospedaje,Plaza Camelinas Hotel,Av. 5 de Febrero,La Capilla,Querétaro,Querétaro
,31220140005,Guía de turistas,Mariana Álvarez Díaz Barriga,5 de Mayo,Centro,Querétaro,Querétaro
,31220140052,Guía de turistas,Jorge Alejandro Hernández García,Privada Constituyentes .,Colonia El Mirador,Querétaro,Querétaro
,35220140006,Tour operador,Cultours Querétaro,INDEPENDENCIA,Centro,Querétaro,Querétaro
,4220060272,Agencia de viajes,Disfrutemos Viajes y Eventos,Colinas del Cimatario,Colinas del Cimatario,Querétaro,Querétaro
,2220146754,Alimentos y bebidas,Domino´s Pizza Queretaro Centro,Francisco I. Madero  Mazn,Centro,Querétaro,Querétaro
,4220060275,Agencia de viajes,Sendas Turísticas Agencia de Viajes y Eventos,Avenida Constituyentes .,Las Palomas,Querétaro,Corregidora
,1220140251,Hospedaje,City Express By Marriott Querétaro Jurica,5 de febrero,Benito Juárez,Querétaro,Querétaro
,4220140277,Agencia de viajes,Time to Go Travel Agency,Av. Del Parque,La Alhambra,Querétaro,Querétaro
,1220090237,Hospedaje,POSADA EL AGUAJE DEL MORO,ANDADOR VICENTE GUERRERO,Centro,Querétaro,Jalpan de Serra
,2220090001,Alimentos y bebidas,RESTAURANTE BAR EL AGUAJE DEL MORO,ANDADOR VICENTE GUERRERO,Centro,Querétaro,Jalpan de Serra
,35220170001,Tour operador,Vino Tours,Niños Héroes ,Tequisquiapan Centro,Querétaro,Tequisquiapan
,4220114218,Agencia de viajes,Tuas Agencia de Viajes ,Av. Residencial Parque .,Condominio Alerces ,Querétaro,El Marqués
,2220177446,Alimentos y bebidas,Café Botheza,Av. H. Colegio Militar,Tequisquiapan Centro,Querétaro,Tequisquiapan
