review,Folio Solicitud,Tipo PST,Nombre Comercial,Calle,Colonia,Estado,Municipio
,31230050562,Guía de turistas,Manuel Jesus Arceo Perez,Puente El Zacatal,Supermanzana 51,Quintana Roo,Benito Juárez
,1230050466,Hospedaje,"Hilton Cancun, an All-Inclusive Resort",Carretera Federal 307 Supermanzana 36,Cancún (Internacional de Cancún),Quintana Roo,Benito Juárez
,31230080768,Guía de turistas,Sabino Armas Rodriguez,Cerrada Mero .,Pto. Maya,Quintana Roo,Solidaridad
,31230080355,Guía de turistas,JOEL ALMEIDA GONZALEZ,25 Norte entre 96 y 98,Luis Donaldo Colosio,Quintana Roo,Solidaridad
,2230057423,Alimentos y bebidas,Starbucks Coffee Plaza Holliwood,Rubi Mzna,Supermanzana 107,Quintana Roo,Benito Juárez
,2230080322,Alimentos y bebidas,Starbucks Coffee Paseo del Carmen,Av.,Playa del Carmen Centro,Quintana Roo,Solidaridad
,2230057424,Alimentos y bebidas,Starbucks Coffee Plaza Caracol,Blvd. Kukulcan 8.5 ,Zona Hotelera,Quintana Roo,Benito Juárez
,2230057425,Alimentos y bebidas,Starbucks Coffee La Isla II,Paseo Kukulcan LT,Zona Hotelera,Quintana Roo,Benito Juárez
,2230057650,Alimentos y bebidas,Peacock Alley,"CARR. FED. 307, SUPERMANZANA 36",Cancún (Internacional de Cancún),Quintana Roo,Benito Juárez
,2230057648,Alimentos y bebidas,Pool Bar,"CARR. FED. 307, SUPERMANZANA 36",Supermanzana 36,Quintana Roo,Benito Juárez
,2230057647,Alimentos y bebidas,Malpeque,"CARR. FED. 307, SUPERMANZANA 36",Cancún (Internacional de Cancún),Quintana Roo,Benito Juárez
,2230057646,Alimentos y bebidas,WA Spa,"CARR. FED. 307, SUPERMANZANA 36",Cancún (Internacional de Cancún),Quintana Roo,Benito Juárez
,2230057645,Alimentos y bebidas,Azul,"CARR. FED. 307, SUPERMANZANA 36",Cancún (Internacional de Cancún),Quintana Roo,Benito Juárez
,2230057644,Alimentos y bebidas,Cielo,"CARR. FED. 307, SUPERMANZANA 36",Cancún (Internacional de Cancún),Quintana Roo,Benito Juárez
,2230057643,Alimentos y bebidas,Cielito,"CARR. FED. 307, SUPERMANZANA 36",Cancún (Internacional de Cancún),Quintana Roo,Benito Juárez
,2230057642,Alimentos y bebidas,Bar Lobby Ballroom,"CARR. FED. 307, SUPERMANZANA 36",Cancún (Internacional de Cancún),Quintana Roo,Benito Juárez
,2230057641,Alimentos y bebidas,Room Service,"CARR. FED. 307, SUPERMANZANA 36",Cancún (Internacional de Cancún),Quintana Roo,Benito Juárez
,2230057640,Alimentos y bebidas,Servi Bar,"CARR. FED. 307, SUPERMANZANA 36",Cancún (Internacional de Cancún),Quintana Roo,Benito Juárez
