review,Folio Solicitud,Tipo PST,Nombre Comercial,Calle,Colonia,Estado,Municipio
,4250010088,Tour operador," Amapa Tours ""Copper Canyon Experts""",Villa Azahares ,Los Naranjos,Sinaloa,Ahome
,2250120097,Alimentos y bebidas,Starbucks Coffee Mazatlán Lomas ,Av. Paseo Lomas de Mazatlán .,Lomas de Mazatlán,Sinaloa,Mazatlán
,2250010027,Alimentos y bebidas,Starbucks Coffee Boulevard Centerario,Blvd. Antonio Rosales .,Puesta de Sol,Sinaloa,Ahome
,2250060101,Alimentos y bebidas,Starbucks Coffee Culiacán Cinepolis ,Blvd. Cul,Recursos Hidráulicos,Sinaloa,Culiacán
,1250120190,Hospedaje,Casa Lucila Hotel Boutique ,Av. Olas Altas .,Centro ,Sinaloa,Mazatlán
,11250010011,Arrendadora de autos,Hertz,Carretera los Mochis Sinaloa,Cereso Nuevo,Sinaloa,Ahome
,11250120006,Arrendadora de autos,Hertz,Zona de Arrendadoras,Mazatlán (Gral. Rafael Buelna),Sinaloa,Mazatlán
,11250120007,Arrendadora de autos,Thrifty,Zona de Arrendadoras,Mazatlán (Gral. Rafael Buelna),Sinaloa,Mazatlán
,2250120115,Alimentos y bebidas,RESTAURANTE LIVERPOOL MAZATLAN,Del Delfin,Marina Mazatlán,Sinaloa,Mazatlán
,4250060195,Agencia de viajes,RIVER TOURS SA DE CV,AV TRAPANI,Palermo,Sinaloa,Culiacán
,4250010101,Agencia de viajes,AJ TRAVELS,DOMINGUEZ,ANAHUAC,Sinaloa,Ahome
,4250120195,Agencia de viajes,Platino Travel By FRAVEO ,Mar Caribe,Real Pacífico,Sinaloa,Mazatlán
,4250061589,Agencia de viajes,Jesús Verdugo Gaxiola,Blvd. Insurgentes .,Otra no especificada en el catálogo,Sinaloa,Culiacán
,4250010106,Agencia de viajes,Viajes Baja Connect,Avenida Naranjo,Las Huertas ,Sinaloa,Ahome
,2250010039,Alimentos y bebidas,Restaurante Santa Anita ,Leyva y Agustin  Melgar,Centro ,Sinaloa,Ahome
,4250120210,Agencia de viajes,Traveler´s Diary,Venus .,Villa de Jaraco,Sinaloa,Mazatlán
,4250061606,Agencia de viajes,Viajes Jazmin ,Blvrd. Manuel J. Clouthier .,Fraccionamiento Loma Linda ,Sinaloa,Culiacán
,2250120099,Alimentos y bebidas,Starbucks Coffee Gran Plaza Mazatlan,Av. Reforma ,Alameda,Sinaloa,Mazatlán
,4250061600,Agencia de viajes,DeTouristas,Blvd. Lazaro Cardenas .,Centro,Sinaloa,Culiacán
,2250010026,Alimentos y bebidas,Starbucks Coffee,"Carr. Los Mochis, 12.5",Burócrata,Sinaloa,Ahome
,4250010069,Agencia de viajes,VIAJES CONELVA,Gabriel Leyva Esquina Rendon S/N Plaza Andrea Local,Primer Cuadro (Centro),Sinaloa,Ahome
,1250120181,Hospedaje,The Inn Beach Hotel Mazatlán,Av. Camarón Sabalo .,Zona Dorada ,Sinaloa,Mazatlán
,4250060100,Agencia de viajes,Password Travel,Av. Álvaro Obregón ,Guadalupe,Sinaloa,Culiacán
,2250120095,Alimentos y bebidas,Starbucks Coffee,Av. Del Mar .,Ferrocarrilera,Sinaloa,Mazatlán
,2250120098,Alimentos y bebidas,Starbucks Coffee Galerías Mazatlán,Av. de la Marina Mz.,Marina Mazatlán,Sinaloa,Mazatlán
,1250110011,Hospedaje,Casa Macarena,Avenida A. Obregón,Tamazula,Sinaloa,Guasave
,31250120166,Guía de turistas,DAVID MACIEL AGUIRRE,SAN DIEGO,HACIENDA DEL SEMINARIO,Sinaloa,Mazatlán
,2250060102,Alimentos y bebidas,Starbucks Coffee La Lomita,Av. Álvaro Obregón .,Guadalupe,Sinaloa,Culiacán
,2250060103,Alimentos y bebidas,Starbucks Coffee Lowes,Blvd. José Limón Lote D,Juntas de Humaya,Sinaloa,Culiacán
,2250060104,Alimentos y bebidas,Starbucks Coffee Plaza Palmares,Blvd. Pedro Infante .,Floresta,Sinaloa,Culiacán
,1250010042,Hospedaje,Hotel América Centro,Miguel Hidalgo Pte ,Primer Cuadro (Centro),Sinaloa,Ahome
,2250120153,Alimentos y bebidas,Agatha Kitchen Bar,Playa Gaviota .,Zona Dorada,Sinaloa,Mazatlán
,11250120008,Arrendadora de autos,STAR PALACE,CAMARON SABALO,SABALO COUNTRY,Sinaloa,Mazatlán
,1250120180,Hospedaje,Star Palace,Camarón Sábalo,Sábalo Country,Sinaloa,Mazatlán
,1250120193,Hospedaje,Hotel One Zona Dorada Mazatlán ,Av. Camarón Sabalo .,Zona Dorada,Sinaloa,Mazatlán
,1250120194,Hospedaje,Hotel Fiesta Inn Mazatlán ,Av. Camarón Sábalo .,Zona Dorada,Sinaloa,Mazatlán
,2250060092,Alimentos y bebidas,Starbucks Coffee,Blvd. Isla Musala .,Músala Isla Bonita,Sinaloa,Culiacán
,2250060105,Alimentos y bebidas,Starbucks Coffee Aeropuerto Culiacán,Carr volato Km 4.5 ,Bachigualato,Sinaloa,Culiacán
,4250111261,Agencia de viajes,Carmen Santillanes,Av. Vicente Guerrero .,Centro,Sinaloa,Guasave
,1250120182,Hospedaje,Hotel Costa de Oro,Av. Camarón Sábalo .,Zona Dorada,Sinaloa,Mazatlán
,1250010051,Hospedaje,Hotel Las Fuentes,Blvd. Adolfo López Mateos .,Jiquilpan,Sinaloa,Ahome
,4250111262,Agencia de viajes,Viajancia Travel,Av. Vicente Guerrero .,Centro,Sinaloa,Guasave
,35250110001,Tour operador,Viajancia Tours,Av. Vicente Guerrero .,Centro,Sinaloa,Guasave
,4250111263,Agencia de viajes,ADG Tours,Av. Vicente Guerrero .,Centro,Sinaloa,Guasave
,4250111264,Agencia de viajes,Boletos de Avión - Viajancia Travel,Av. Vicente Guerrero .,Centro,Sinaloa,Guasave
,1250120183,Hospedaje,Hotel Margaritas Mazatlán,Av. Camarón Sábalo .,Zona Dorada,Sinaloa,Mazatlán
,35250110002,Tour operador,ADG Tours,Av. Vicente Guerrero .,Centro,Sinaloa,Guasave
,4250111265,Agencia de viajes,Club de Viajeros de Viajancia Travel,Av. Vicente Guerrero .,Centro,Sinaloa,Guasave
,1250120184,Hospedaje,The Palms Resort of Mazatlán,Av. Camarón Sábalo .,Zona Dorada,Sinaloa,Mazatlán
,1250120185,Hospedaje,Pacific Blue Hotel,Av. Carretera Internacional al Nte. .,Jacarandas,Sinaloa,Mazatlán
,31250120128,Guía de turistas,Maaike Hoekstra,Miguel Aleman .,Centro,Sinaloa,Mazatlán
,31250120129,Guía de turistas,Sergio Marín Osuna,Bernardo Vazquez .,Estero,Sinaloa,Mazatlán
,31250120130,Guía de turistas,Cesar Ocatvio Berúmen Aguilar,Durango .,Sánchez Célis,Sinaloa,Mazatlán
,31250120131,Guía de turistas,Omar Orenday de la Rosa,Margaritas .,Flores Magón,Sinaloa,Mazatlán
,4250120212,Agencia de viajes,Check Hotel Operadora Mayorista,Av. Santa Rosa .,Jacarandas,Sinaloa,Mazatlán
,1250120186,Hospedaje,Viaggio Resort Mazatlán,Blvd. Camarón Sábalo .,Zona Dorada,Sinaloa,Mazatlán
,2250120154,Alimentos y bebidas,Pool Snack Bar,Blvd. Camarón Sábalo .,Zona Dorada,Sinaloa,Mazatlán
,2250120155,Alimentos y bebidas,Cacao Coffee Shop & Bar,Blvd. Camarón Sábalo .,Zona Dorada,Sinaloa,Mazatlán
,2250120156,Alimentos y bebidas,Restaurante 'Tramonto',Blvd. Camarón Sábalo .,Zona Dorada,Sinaloa,Mazatlán
,31250120132,Guía de turistas,Gabriel Moreno Lizarraga,Cuervo .,Independencia,Sinaloa,Mazatlán
,31250120133,Guía de turistas,Luis Maciel Rodríguez,Mar de Cortes .,Lazaro Cardenas,Sinaloa,Mazatlán
,31250120134,Guía de turistas,Jéssica Jassiny Piña Sánchez,Barrio Nuevo,El Roble,Sinaloa,Mazatlán
,31250120135,Guía de turistas,Julio Alfonso Mendoza Soberanes,Privada Petroleos .,Emiliano Zapata,Sinaloa,Mazatlán
,31250120136,Guía de turistas,Juan José Hernández Chavira,,La Joya,Sinaloa,Mazatlán
,31250120137,Guía de turistas,Luis Alfonso Ramos Patrón,Av. de la Estepa .,Fracc. Prados del Sol,Sinaloa,Mazatlán
,4250120213,Agencia de viajes,Zianya Travel Sucursal Sinaloa,Mar Caribe .,Fracc. Real Pacífico,Sinaloa,Mazatlán
,5250120059,Transportadora turística,El Maz Chilo - Tranvía Turístico,Campana .,Centro,Sinaloa,Mazatlán
,1250120187,Hospedaje,Vistamar Hotel & Bungalows,Av. del Mar .,Zona Dorada,Sinaloa,Mazatlán
,31250120138,Guía de turistas,Carlos Nicolas Meda Oropeza,Circuito Montreal .,Fracc. Terranova,Sinaloa,Mazatlán
,1250040001,Hospedaje,Residencial Clementina,Cuauhtémoc .,Concordia,Sinaloa,Concordia
,35250040001,Tour operador,Observatorio Mintaka,Domicilio Conicido,Chirimoyos La Petaca,Sinaloa,Concordia
,31250120139,Guía de turistas,Luis Humberto Villegas Peraza,Huatabampito .,Infonavit Playas,Sinaloa,Mazatlán
,31250120140,Guía de turistas,Enrique Velarde Peraza,Simon Bolivar .,centro,Sinaloa,Mazatlán
,31250120141,Guía de turistas,Gilberto Lizárraga Sánchez,Mar Egeo .,Fracc. Puerta del Sol,Sinaloa,Mazatlán
,31250120142,Guía de turistas,Julio Cesar Cervantes Fernandez,Calle del Mar .,Real Pacifico ,Sinaloa,Mazatlán
,31250120143,Guía de turistas,Jesús Armando Zatarain Sánchez,Av. Insurgentes .,Benito Juárez,Sinaloa,Mazatlán
,33250120001,Parque temático,Gran Acuario Mazatlán Mar de Cortés,Avenida de los Deportes .,Tellería,Sinaloa,Mazatlán
,33250120002,Parque temático,Huanacoa,Av. Camarón Sábalo .,Zona Dorada,Sinaloa,Mazatlán
,4250120214,Agencia de viajes,Venado Tours,Joel Montes Camarena .,Puerto Zona Federal,Sinaloa,Mazatlán
,31250120162,Guía de turistas,Abraham Salazar Sandoval ,Géminis .,Fracc. Villa Galaxia ,Sinaloa,Mazatlán
,2250060138,Alimentos y bebidas,Starbucks Coffee,Blvd. Pedro Infante .,Jardines Tres Ríos,Sinaloa,Culiacán
,2250060095,Alimentos y bebidas,Starbucks Coffee,"Blvd. Dr Jesus Kumate Rodriguez Acera,",San Rafael,Sinaloa,Culiacán
,4250061595,Agencia de viajes,Andare Travel Agency,Jesus G. Andrade .,Centro,Sinaloa,Culiacán
,4250061596,Agencia de viajes,Turismo Playas,Miguel Peregrina .,21 de Marzo,Sinaloa,Culiacán
,4250061597,Agencia de viajes,Turismos Faby,Av. Villa Tamazula .,Colinas de la Rivera,Sinaloa,Culiacán
,2250060137,Alimentos y bebidas,Mariscos Los Chiveros,Av. El Dorado .,Las Quintas,Sinaloa,Culiacán
,2250110007,Alimentos y bebidas,Mariscos Los Chiveros,Heriberto Valdez,Ejidal,Sinaloa,Guasave
,5250060002,Transportadora turística,Central Internacional de Autobuses,Blvd. Alfonso G. Calderón Velarde S/N Loc.,Desarrollo Urbano Tres Rios,Sinaloa,Culiacán
,5250120060,Transportadora turística,Mazatlán Transportación & Tours,Valle de Compostela .,Fuentes del Valle,Sinaloa,Mazatlán
,1250120188,Hospedaje,Hotel Azteca Inn ,Av. Playa Gaviotas .,Zona Dorada,Sinaloa,Mazatlán
,31250120150,Guía de turistas,Martin Ulises Espinosa Noriega,Valle de Compostela .,Fuentes del Valle,Sinaloa,Mazatlán
,2250120157,Alimentos y bebidas,Los Jochos,Miramar .,Centro,Sinaloa,Mazatlán
,31250120151,Guía de turistas,Juan Carlos Guzmán Qui,Benito Juárez .,Centro,Sinaloa,Mazatlán
,31250120152,Guía de turistas,Perla Jazmin Moreno Valdez,Domicilio Co cido,Centro,Sinaloa,Mazatlán
,31250120154,Guía de turistas,Gloria Maria Osuna Pérez,Mar Caribe .,Fracc. Real Pacífico,Sinaloa,Mazatlán
,31250120155,Guía de turistas,Jose Roberto Osuna Pérez,Caranchos .,Fracc. Pradera Dorada,Sinaloa,Mazatlán
,31250120156,Guía de turistas,José Antonio Osuna Moreno,Mar Caribe .,Fracc. Real Pacífico,Sinaloa,Mazatlán
,35250120013,Tour operador,Premium Transportation Services,Campana .,Centro,Sinaloa,Mazatlán
,31250120144,Guía de turistas,José Ismael Osuna Lizarraga,German Evers .,Montuosa,Sinaloa,Mazatlán
,31250120145,Guía de turistas,Jesús Antonio Osuna Iñiguez,Liebres .,Fovissste Jabalies,Sinaloa,Mazatlán
,31250120146,Guía de turistas,Pedro Angel Velazquez Salazar,Juan Balderas .,Benito Juárez,Sinaloa,Mazatlán
,31250120147,Guía de turistas,Jesus Humberto Noriega Peraza,Las Tinajas .,U.H. Infonavit Playas,Sinaloa,Mazatlán
,31250120148,Guía de turistas,Rene Fernando Navarro Fuentes,Rio Evora .,Independencia,Sinaloa,Mazatlán
,31250120149,Guía de turistas,Ricardo Parente Quinteros,Calle Cuarta .,Venustiano Carranza,Sinaloa,Mazatlán
,1250180003,Hospedaje,Navola Inn,Carretera a Navolato .,San Pedro,Sinaloa,Navolato
,4250061590,Agencia de viajes,M & V Destinos,Privada Sori .,Fracc. Stanza Toscana,Sinaloa,Culiacán
,4250061591,Agencia de viajes,Rosefy Turismo,Av. Gral Álvaro Obregón Nte.,Gabriel Leyva,Sinaloa,Culiacán
,5250060001,Transportadora turística,Navolatours,Blvd. Pedro Infante .,Desarrollo Urbano Tres Ríos,Sinaloa,Culiacán
,4250061592,Agencia de viajes,VT Travel,Estado de So ra .,Las Quintas,Sinaloa,Culiacán
,4250061593,Agencia de viajes,Omega Tours,Av. Venustia Carranza .,Las Vegas,Sinaloa,Culiacán
,1250180004,Hospedaje,Altata Bay,Juan Escutia,Altata,Sinaloa,Navolato
,2250180007,Alimentos y bebidas,Altata Bay Club Náutico,Av. del Mar,Altata Centro,Sinaloa,Navolato
,35250180001,Tour operador,Altata Bay Club Náutico ,Av. del Mar,Altata Centro,Sinaloa,Navolato
,35250010005,Tour operador,LM Travel,Privada Escurrimiento .,Infonavit Bachomo,Sinaloa,Ahome
,4250010098,Agencia de viajes,LM Travel,Privada Escurrimiento .,Infonavit Bachomo,Sinaloa,Ahome
,4250061594,Agencia de viajes,Aventia,Blvd. Ciudades Hermanas .,Guadalupe,Sinaloa,Culiacán
,2250060136,Alimentos y bebidas,Humaya Encanto Sinaloense,Blvd. Pedro Infante .,Desarrollo Urbano Tres Rios,Sinaloa,Culiacán
,2250010038,Alimentos y bebidas,Restaurantes y Pastelerias Panama,Gabriel Leyva .,Centro,Sinaloa,Ahome
,4250061599,Agencia de viajes,Nery Tours STNT,Blvd. Pedro Infante .,Recursos Hidráulicos ,Sinaloa,Culiacán
,2250120158,Alimentos y bebidas,PLAYA SOL TOURS,AV. CAMARON SÁBALO,SABALO COUNTRY CLUB,Sinaloa,Mazatlán
,5250120061,Transportadora turística,PLAYA SOL TOURS,AV. CAMARON SÁBALO,SABALO COUNTRY CLUB,Sinaloa,Mazatlán
,4250010099,Agencia de viajes,Zafira Viajes Grupales,Tecolote .,Residencial Campestre,Sinaloa,Ahome
,4250010100,Agencia de viajes,Ela Travels,Rio Quelite .,Scally,Sinaloa,Ahome
,1250120189,Hospedaje,Hotel Riu Emerald Bay,Av. Camarón Sábalo .,Sábalo Cerritos,Sinaloa,Mazatlán
,31250120159,Guía de turistas,Armando Osuna Medina,Zona Dorada,Zona Dorada,Sinaloa,Mazatlán
,31250120160,Guía de turistas,Norma Leticia López Meza,Acuario .,Olimpica,Sinaloa,Mazatlán
,31250120157,Guía de turistas,Javier Adame Domínguez,Paseo Alameda .,Fracc. Paseo Alameda,Sinaloa,Mazatlán
,31250120158,Guía de turistas,Jatzel Viridiana Ruiz Rico,Hacienda de las Bugambilias .,Fracc. Hacienda del Seminario,Sinaloa,Mazatlán
,2250120159,Alimentos y bebidas,Agatha Kitchen Bar,Avenida Playa Gaviotas .,Fraccionamiento Zona Dorada,Sinaloa,Mazatlán
,2250120160,Alimentos y bebidas,Vittore Terrazo Ristorante ,Avenida Playa Gaviotas .,Fraccionamiento Zona Dorada,Sinaloa,Mazatlán
,2250060099,Alimentos y bebidas,Starbucks Coffee Tres Ríos Culiacán ,José Diego Valdéz Ríos .,Lago Tres Ríos,Sinaloa,Culiacán
,2250060100,Alimentos y bebidas,Starbucks Coffee Forum Culiacán ,Blvd. José Diego Valadez Poniente .,Lago Tres Ríos,Sinaloa,Culiacán
,1250010049,Hospedaje,City Express by Marriott Los Mochis,Blvd. Centenario,Las Delicias,Sinaloa,Ahome
,4250060200,Agencia de viajes,Iter Mundi ,Blvd. Navidad,Paraíso,Sinaloa,Culiacán
,4250060108,Agencia de viajes,TURISMO GT,Paseo Niños Héroes,Las Quintas,Sinaloa,Culiacán
,4250060204,Agencia de viajes,VIHUSA CULIACÁN,Estado de Tabasco,Las Quintas,Sinaloa,Culiacán
,0225006656ec0,Alimentos y bebidas,CABANNA,FRANCISCO LABASTIDA OCHOA,Tres Ríos,Sinaloa,Culiacán
,3125012ff1943,Guía de turistas,Jesus Antonio Osuna Corrales,Camarón Sabalo,Zona Dorada,Sinaloa,Mazatlán
,0125012c4df89,Hospedaje,STAR PALACE,Camarón Sabalo,Sábalo Country Club,Sinaloa,Mazatlán
,0125012af1425,Hospedaje,HOTEL PLAYA MAZATLAN,PLAYA GAVIOTAS,Zona Dorada,Sinaloa,Mazatlán
,02250122c5294,Alimentos y bebidas,RESTAURANT CASA ROBERTO,AVENIDA PLAYA GAVIOTAS ,Zona Dorada,Sinaloa,Mazatlán
,022501262a0cf,Alimentos y bebidas,RESTAURANT GEORGINNIS,PLAYA GAVIOTAS,Zona Dorada,Sinaloa,Mazatlán
,0225012f15bda,Alimentos y bebidas,RESTAURANT TEJABANES,PLAYA GAVIOTAS,Zona Dorada,Sinaloa,Mazatlán
,0225012bd7266,Alimentos y bebidas,RESTAURANT BAR LA TERRAZA,PLAYA GAVIOTAS,Zona Dorada,Sinaloa,Mazatlán
,022501236f5af,Alimentos y bebidas,RESTAURANT TEJABANES,PLAYA GAVIOTAS,Zona Dorada,Sinaloa,Mazatlán
,0225012347565,Alimentos y bebidas,RESTAURANT VERANDA,SABALO CERRITOS,Sábalo Country Club,Sinaloa,Mazatlán
,332501230f7e6,Parque temático,SEAHORSE EXPEDITION ,FRANCISCO LIZARRAGA,Isla de la Piedra,Sinaloa,Mazatlán
,31250127a9704,Guía de turistas,JESUS RAMON ARRAYALES ANDRES,DORADOS,Francisco Villa,Sinaloa,Mazatlán
,31250120eeeff,Guía de turistas,JESUS MANUEL VALDEZ LIZARRAGA,PUERTO VIEJO,Chulavista,Sinaloa,Mazatlán
,3125012a224b9,Guía de turistas,HECTOR GERARDO CHAVARRIA MORENO,ADRIATICO,Azul Marino,Sinaloa,Mazatlán
,01250165ccae8,Hospedaje,HOTEL ANJOLIN,PORVENIR,San Ignacio Centro,Sinaloa,San Ignacio
,3125012c2120b,Guía de turistas,JESUS MANUEL VALDEZ LIZARRAGA,PRIVADA PUERTO VIEJO,Chulavista,Sinaloa,Mazatlán
