review,Folio Solicitud,Tipo PST,Nombre Comercial,Calle,Colonia,Estado,Municipio
,4240280222,Agencia de viajes,Andanzas,Venustiano Carranza,Tequisquiapan,San Luis Potosí,San Luis Potosí
,1240280139,Hospedaje,City Centro by Marriott San Luis Potosí,Aldama,San Luis Potosí Centro,San Luis Potosí,San Luis Potosí
,32240090002,Operadora de aventura/naturaleza,Campamento Santa Úrsula,Camino a Portezuelo no,Cerro de San Pedro,San Luis Potosí,Cerro de San Pedro
,1240137832,Hospedaje,Hotel Casa Ortiz,Niños Héroes no,Rotarios,San Luis Potosí,Ciudad Valles
,4240280618,Agencia de viajes,Enjoy Travel and Wedding,Circuito Mestros Ilustres .,Residencial Universitaria,San Luis Potosí,San Luis Potosí
,1240542750,Hospedaje,Hotel Ziyaquetzas,Jardin Hidalgo .,Xilitla,San Luis Potosí,Xilitla
,2240135576,Alimentos y bebidas,Hotel Misión Ciudad Valles,Boulevard Carr. Nal. México - Laredo .,Centro,San Luis Potosí,Ciudad Valles
,1240137850,Hospedaje,Hotel Misión Ciudad Valles,Boulevard Carr. Nal. México - Laredo .,Centro,San Luis Potosí,Ciudad Valles
,2240280079,Alimentos y bebidas,La Posada del Virrey,Jardín Hidalgo .,Centro,San Luis Potosí,San Luis Potosí
,4240280460,Agencia de viajes,COMLES Agencia de Viajes,Roque Estrada,El Paseo,San Luis Potosí,San Luis Potosí
,1240060042,Hospedaje,Hotel Palacio del Gambusino,Callejón Terán .,Real de Catorce,San Luis Potosí,Catorce
,1240070003,Hospedaje,Hotel Plaza,Hemenegildo Galeana .,Centro,San Luis Potosí,Cedral
,1240060041,Hospedaje,Hotel R 14,Lanzagorta .,Real de Catorce,San Luis Potosí,Catorce
,1240200017,Hospedaje,Hotel El Pedregal,Carretara Central 2.5,Aviación,San Luis Potosí,Matehuala
,1240070002,Hospedaje,Hotel Mina Real,Libramiento Flores Magón .,-,San Luis Potosí,Cedral
,31240060052,Guía de turistas,Miguel Ángel Coronado Ibarra,Plaza Principal .,Real de Catorce,San Luis Potosí,Catorce
,2240430002,Alimentos y bebidas,Roca Mar Mariscos Grill & Wings,Guerrero .,Centro,San Luis Potosí,Tierra Nueva
,4240280633,Agencia de viajes,Latitud Tours and Travel,Av. México .,Industrial Mexicana,San Luis Potosí,San Luis Potosí
,4240280637,Agencia de viajes,MKF Travels & Life experiences ,Morelos,San Sebastián,San Luis Potosí,San Luis Potosí
,4240370001,Agencia de viajes,Gala Travel,Aquiles Serdán,San Rafael,San Luis Potosí,Tamazunchale
,4240280557,Agencia de viajes,Moments Tour,Privada de Juan Escutia,Niños Héroes,San Luis Potosí,San Luis Potosí
,4240243228,Agencia de viajes,Viaja Luumea ,Maria Matamoros .,Centro ,San Luis Potosí,Rioverde
,4240080001,Agencia de viajes,Agencia de Viajes El Zagúan  ,Galeana,Cerritos Centro,San Luis Potosí,Cerritos
,4240280258,Agencia de viajes,Agencia de Viajes Luxor,Cuauhtémoc .,Jardín,San Luis Potosí,San Luis Potosí
,4240280260,Agencia de viajes,ADVANCE,Hermanos Infante,Del Valle,San Luis Potosí,San Luis Potosí
,27240280007,Agencia integradora de servicios,DMC Operadora Turística Montalvo,5 de mayo no,San Luis Potosí Centro,San Luis Potosí,San Luis Potosí
,4240280574,Agencia de viajes,Montalvo Viajes,5 de mayo no,San Luis Potosí Centro,San Luis Potosí,San Luis Potosí
,4240280622,Agencia de viajes,Turismo Terrestre Torres,,Praderas del Real,San Luis Potosí,San Luis Potosí
,4240350496,Agencia de viajes,Almas Viajeras,Ricardo B. Anaya .,Soledad de Graciano Sánchez,San Luis Potosí,Soledad de Graciano Sánchez
,4240280656,Agencia de viajes,Quetzal Adventours,,Misión del Palmar,San Luis Potosí,San Luis Potosí
,4240280655,Agencia de viajes,Live Istanbul,Priv. Albi García .,Tequisquiapan,San Luis Potosí,San Luis Potosí
,1240530004,Hospedaje,Mirador del Castillo Hotel,Carretera Aguacatitla Temalacaco,Axtla de Terrazas,San Luis Potosí,Axtla de Terrazas
,4240280304,Agencia de viajes,PROMOTRAVEL,Av Coronel Romero,Himno Nacional 2a Secc,San Luis Potosí,San Luis Potosí
,11240280003,Arrendadora de autos,Hertz,Carretera Central 420,Zona Industrial,San Luis Potosí,San Luis Potosí
,11240280002,Arrendadora de autos,Hertz,Carretera de Matehuala 9.5,Aeropuerto,San Luis Potosí,San Luis Potosí
,4240280647,Agencia de viajes,ViveViaja,Villa del Conde del Razo .,Villantigua,San Luis Potosí,San Luis Potosí
,4240280646,Agencia de viajes,Agencia de Viajes Vimex Tour,Cami al Aguaje .,Simón Díaz,San Luis Potosí,San Luis Potosí
,4240280645,Agencia de viajes,ReservaH,Puerto Limón .,El Portal,San Luis Potosí,San Luis Potosí
,4240350495,Agencia de viajes,Sin Fronteras,Vicente Guerrero .,San Antonio,San Luis Potosí,Soledad de Graciano Sánchez
,2240060004,Alimentos y bebidas,REALBUCKS CAFE,Morelos y Lanzagorta,Real de Catorce,San Luis Potosí,Catorce
,4240280513,Agencia de viajes,Dream Tours,Paseo del Trópico,Puerta Natura Residencial,San Luis Potosí,San Luis Potosí
,4240280261,Agencia de viajes,Multiviajes Québec,Nereo Rodríguez Barragán,Del Valle,San Luis Potosí,San Luis Potosí
,27240280006,Agencia integradora de servicios,Andanzas Tours,Venustiano Carranza,Tequisquiapan,San Luis Potosí,San Luis Potosí
,1240060004,Hospedaje,Hotel Mina Real,Ramón Corona,Real de Catorce,San Luis Potosí,Catorce
,4240280447,Agencia de viajes,Azul Maya Services & Travel Shop,Morales Saucito,Lomas del Río,San Luis Potosí,San Luis Potosí
,28240360003,Balneario y parque acuático,Sitio Turístico Puente de Dios,Av. Adolfo López Mateos,El Cafetal,San Luis Potosí,Tamasopo
,4240280302,Agencia de viajes,Elite Travelers,Valentín Gama,Del Valle,San Luis Potosí,San Luis Potosí
,31240130032,Guía de turistas,Tatiana Cadavid Rodríguez,Gral. Blas Escontria .,Centro,San Luis Potosí,Ciudad Valles
,4240280636,Agencia de viajes,Agencia de Viajes Smart Travel,Prol. Xicotencatl .,Graciano Sánchez,San Luis Potosí,San Luis Potosí
,1240137853,Hospedaje,Eco Hotel Sharet,Principal 0,La Toconala,San Luis Potosí,Ciudad Valles
