review,Folio Solicitud,Tipo PST,Nombre Comercial,Calle,Colonia,Estado,Municipio
,2320170025,Alimentos y bebidas,Dayvasos,AVENIDA GARCÍA SALINAS,LOMAS DEL CONVENTO,Zacatecas,Guadalupe
,2320560059,Alimentos y bebidas,Domino´s Pizza Soriana Zacatecas ,Boulevard Lopez Portillo .,Fovissste,Zacatecas,Zacatecas
,4320200022,Agencia de viajes,MAQUEZ TRAVEL AGENCY,CRISTOBAL COLÓN,CENTRO,Zacatecas,Jerez
,2320560048,Alimentos y bebidas,Starbucks Coffee Zacatecas Centro,Av. Hidalgo .,Zacatecas Centro,Zacatecas,Zacatecas
,2320560086,Alimentos y bebidas,LA LEYENDA RESTAURANTE GALERÍA,,CENTRO,Zacatecas,Zacatecas
,2320560088,Alimentos y bebidas,LAS MINERAS,AVENIDA TORREÓN,LOMAS DE LA SOLEDAD,Zacatecas,Zacatecas
,2320380006,Alimentos y bebidas,AMARETTO CAFETERÍA Y EMPAREDADOS,PROLONGACIÓN GONZÁLEZ ORTEGA,MAGISTERIAL,Zacatecas,Pinos
,2320100013,Alimentos y bebidas,CAPITAL RIBS,,CENTRO,Zacatecas,Fresnillo
,2320340007,Alimentos y bebidas,Restaurante y Mariscos Doña Chuy ,Benito Juárez .,Nochistlan Centro,Zacatecas,Nochistlán de Mejía
,4320172099,Agencia de viajes,DVIAJE VACATIONS,DEL CONSUELO,LOMAS DEL CONSUELO,Zacatecas,Guadalupe
,2320170020,Alimentos y bebidas,PUNTO NATIVO,AVENIDA ACCESO A BERNÁRDEZ,DEPENDENCIAS FEDERALES,Zacatecas,Guadalupe
,11320560002,Arrendadora de autos,Thrifty,. 23 Carretera Panamericana,Calera de Víctor Rosales Centro,Zacatecas,Calera
,33320560003,Parque temático,Museo Temático Playmohistoria,PLAZUELA MIGUEL AUZA,CENTRO,Zacatecas,Zacatecas
,4320562073,Agencia de viajes,RBK AR TOUR,CALLE UNION,CENTRO,Zacatecas,Zacatecas
,4320562056,Agencia de viajes,Erci Travels,AGUASCALIENTES,Zacatecas Centro,Zacatecas,Zacatecas
,2320420013,Alimentos y bebidas,Restaurant La Parrilla,5 DE MAYO,Sombrerete Centro,Zacatecas,Sombrerete
,2320560093,Alimentos y bebidas,MINA CLUB,DOVALI JAIME,CENTRO,Zacatecas,Zacatecas
,2320560075,Alimentos y bebidas,Starbucks Coffee García Salinas,Calz. Francisco García Salinas .,La Estancia,Zacatecas,Nochistlán de Mejía
,2320100011,Alimentos y bebidas,LA PARRILLA,AVENIDA HUICOT,TECNOLOGICA,Zacatecas,Fresnillo
,2320170021,Alimentos y bebidas,Wings Army Guadalupe,DE LA PLATA,LOMAS DEL CONVENTO,Zacatecas,Guadalupe
,2320550011,Alimentos y bebidas,RESTAURANT EL JACAL CARNITAS,CALZADA PASCUAL SANTOYO,SANTA ANITA,Zacatecas,Villanueva
,2320560049,Alimentos y bebidas,Starbucks Coffee Galerías Zacatecas ,Blvd El Bote .,Ciudad Argentum,Zacatecas,Zacatecas
,2320100012,Alimentos y bebidas,MANDUCA,BOULEVARD  PASEO DEL MINERAL,EMILIANO ZAPATA,Zacatecas,Fresnillo
,4320562068,Agencia de viajes,Passport Agencia De Viajes ,Cl. Clarisas .,Villas del Padre,Zacatecas,Zacatecas
,2320170022,Alimentos y bebidas,CAFÉ PUNTA DEL CIELO GUADALUPE,DE LA PLATA,LOMAS DEL CONVENTO ,Zacatecas,Guadalupe
,2320170023,Alimentos y bebidas,CABAÑA DEL BORREGO,CARR.  AGAUASCALIENTES- ZACATECAS DEP 402 115 *300, MARTINEZ DOMINGUEZ,Zacatecas,Guadalupe
,2320560089,Alimentos y bebidas,RESTAURANTE SANTO CABRITO,PERIFERICO PASEO DIAZ ORDAZ,CENTRO,Zacatecas,Zacatecas
,2320560090,Alimentos y bebidas,RESTAURANTE 'LOS OLIVOS',BOULEVARD HEROES DE CHAPULTEPEC,LA ESCONDIDA,Zacatecas,Zacatecas
,4320481841,Agencia de viajes,Travel SH,MORELOS,CENTRO,Zacatecas,Tlaltenango de Sánchez Román
,2320560052,Alimentos y bebidas,Domino´s Pizza Zacatecas,Héroes de Chapultepec .,Lomas de La Soledad,Zacatecas,Zacatecas
,2320560076,Alimentos y bebidas,Starbucks Coffee,Blvd. Héroes de Chapultepec ,Lázaro Cárdenas,Zacatecas,Zacatecas
